location,lats,longs
"Nayagarh                                          ,Odisha                                            ",20.13,85.1
"Dhenkanal                                         ,Odisha                                            ",20.67,85.6
"Deogarh                                           ,Odisha                                            ",21.54,84.73
"Koraput                                           ,Odisha                                            ",18.81,82.71
"Angul                                             ,Odisha                                            ",20.84,85.1
"Jajpur                                            ,Odisha                                            ",21.21,86.11
"Cuttack                                           ,Odisha                                            ",20.52,85.79
"Balangir                                          ,Odisha                                            ",20.72,83.48
"Rayagada                                          ,Odisha                                            ",19.17,83.42
"Sundargarh                                        ,Odisha                                            ",22.12,84.03
"Fatehgarh Churian                                 ,Punjab                                            ",31.86,74.96
"Moga                                              ,Punjab                                            ",30.82,75.17
"Mansa                                             ,Punjab                                            ",29.99,75.4
"Kapurthala                                        ,Punjab                                            ",31.38,75.38
"Fatehabad                                         ,Punjab                                            ",31.38,75.1
"Nawashahr                                         ,Punjab                                            ",31.12,76.13
"Ludhiana                                          ,Punjab                                            ",30.91,75.85
"Pathankot                                         ,Punjab                                            ",32.27,75.6
"Muktsar                                           ,Punjab                                            ",30.47,74.52
"Amritsar                                          ,Punjab                                            ",31.64,74.86
"Gurdaspur                                         ,Punjab                                            ",32.03,75.4
"Fazilka                                           ,Punjab                                            ",30.4,74.03
"Barnala                                           ,Punjab                                            ",30.37,75.54
"Sangrur                                           ,Punjab                                            ",30.25,75.84
"Jalandhar Cantonment                              ,Punjab                                            ",31.29,75.62
"Fateh Nangal                                      ,Punjab                                            ",31.95,75.32
"Jalandhar                                         ,Punjab                                            ",31.26,75.44
"Faridkot                                          ,Punjab                                            ",30.67,74.76
"Patiala                                           ,Punjab                                            ",30.34,76.38
"Kota                                              ,Rajasthan                                         ",25.18,75.83
"Bhilwara                                          ,Rajasthan                                         ",25.35,74.63
"Sikar                                             ,Rajasthan                                         ",27.62,75.15
"Jaipur                                            ,Rajasthan                                         ",26.9,75.8
"Udaipur                                           ,Rajasthan                                         ",24.58,73.68
"Bharatpur                                         ,Rajasthan                                         ",27.22,77.48
"Ajmer                                             ,Rajasthan                                         ",26.45,74.64
"Alwar                                             ,Rajasthan                                         ",27.55,76.64
"Jodhpur                                           ,Rajasthan                                         ",26.28,73.02
"Hanumangarh                                       ,Rajasthan                                         ",29.58,74.32
"Bikaner                                           ,Rajasthan                                         ",28.02,73.31
"Ganganagar                                        ,Rajasthan                                         ",29.92,73.88
"Pali                                              ,Rajasthan                                         ",25.77,73.33
"Puduppatti                                        ,TamilNadu                                         ",10.31,77.73
"Karuppur                                          ,TamilNadu                                         ",11.1,78.21
"Salem                                             ,TamilNadu                                         ",11.65,78.15
"Tirupporur                                        ,TamilNadu                                         ",12.73,80.19
"Madurai                                           ,TamilNadu                                         ",9.93,78.12
"Namagiripettai                                    ,TamilNadu                                         ",11.47,78.27
"Chennimalai                                       ,TamilNadu                                         ",11.16,77.6
"Pudur                                             ,TamilNadu                                         ",10.15,77.48
"Tiruppanandal                                     ,TamilNadu                                         ",11.09,79.45
"Perambalur                                        ,TamilNadu                                         ",11.23,78.88
"Tiruvattar                                        ,TamilNadu                                         ",8.33,77.27
"Pudupattanam                                      ,TamilNadu                                         ",12.5,80.15
"Tiruvadamarudur                                   ,TamilNadu                                         ",10.91,79.45
"Tiruppur                                          ,TamilNadu                                         ",11.11,77.34
"Virudunagar                                       ,TamilNadu                                         ",9.57,77.96
"Tiruppalaikudi                                    ,TamilNadu                                         ",9.55,78.92
"Tiruvalur                                         ,TamilNadu                                         ",10.77,79.64
"Tiruvottiyur                                      ,TamilNadu                                         ",13.16,80.3
"Kannandahalli                                     ,TamilNadu                                         ",12.42,78.38
"Karuveppampatti                                   ,TamilNadu                                         ",11.4,77.87
"Tiruvannamalai                                    ,TamilNadu                                         ",12.13,79.07
"Krishnagiri                                       ,TamilNadu                                         ",12.53,78.22
"Peraiyur                                          ,TamilNadu                                         ",9.73,77.79
"Sivakasi                                          ,TamilNadu                                         ",9.45,77.8
"Vellakkovil                                       ,TamilNadu                                         ",10.93,77.72
"Tirunageswaram                                    ,TamilNadu                                         ",10.96,79.43
"Kannudaiyampatti                                  ,TamilNadu                                         ",10.64,78.47
"Karumandi Chellipalaiyam                          ,TamilNadu                                         ",11.3,77.59
"Peranampattu                                      ,TamilNadu                                         ",12.94,78.7
"Madukkur                                          ,TamilNadu                                         ",10.48,79.4
"Tiruppattur                                       ,TamilNadu                                         ",11.32,78.61
"Tirupparangunram                                  ,TamilNadu                                         ",9.88,78.07
